"","River","Latitude","Longitude","pastTemp","FutTemp","CurTemp.bio1","CurTemp.bio2","CurTemp.bio3","CurTemp.bio4","CurTemp.bio5","CurTemp.bio6","CurTemp.bio7","CurTemp.bio8","CurTemp.bio9","CurTemp.bio10","CurTemp.bio11","CurTemp.bio12","CurTemp.bio13","CurTemp.bio14","CurTemp.bio15","CurTemp.bio16","CurTemp.bio17","CurTemp.bio18","CurTemp.bio19"
"1","Biscay Bay River",46.75,-52.75, 7.73086314,6.1,   4.6,   6.5,   2.7, 586.5,  17.2,  -6.6,  23.8,   0.1,   8.3,  12.6,  -2.7, 145.3,  15.2,   9.8,   1.3,  42.8,  31.0,  33.1,  37.9
"2","Stoney Brook",46.75,-52.75, 7.73086314,6.1,   4.6,   6.5,   2.7, 586.5,  17.2,  -6.6,  23.8,   0.1,   8.3,  12.6,  -2.7, 145.3,  15.2,   9.8,   1.3,  42.8,  31.0,  33.1,  37.9
"3","Northeast Brook",46.75,-52.75, 7.73086314,6.1,   4.5,   6.3,   2.6, 594.5,  17.1,  -6.8,  23.9,  -0.1,   8.4,  12.6,  -2.9, 147.3,  14.8,  10.3,   1.2,  42.4,  32.4,  34.4,  38.1
"4","Northwest Brook",46.75,-52.75, 7.73086314,6.1,   4.5,   6.3,   2.6, 594.5,  17.1,  -6.8,  23.9,  -0.1,   8.4,  12.6,  -2.9, 147.3,  14.8,  10.3,   1.2,  42.4,  32.4,  34.4,  38.1
"5","St. Shott’s River",46.75,-52.75, 7.73086314,6.4,   4.9,   6.1,   2.6, 586.0,  17.2,  -6.2,  23.4,   0.4,   8.7,  12.9,  -2.3, 146.0,  14.6,  10.5,   1.1,  41.2,  33.0,  34.7,  37.5
"6","Big Barachois River",47.75,-52.75, 7.00556429,6.5,   5.0,   6.5,   2.5, 630.4,  18.1,  -7.1,  25.2,  -0.1,   2.0,  13.4,  -2.9, 137.7,  13.3,   9.3,   1.1,  38.9,  29.9,  33.6,  35.3
"7","Little Salmonier River",47.75,-52.75, 7.00556429,6.5,   5.0,   6.5,   2.5, 630.4,  18.1,  -7.1,  25.2,  -0.1,   2.0,  13.4,  -2.9, 137.7,  13.3,   9.3,   1.1,  38.9,  29.9,  33.6,  35.3
"8","North Harbour",47.75,-52.75, 7.00556429,6.6,   5.0,   7.1,   2.6, 647.8,  18.7,  -7.6,  26.3,  -0.2,   2.1,  13.7,  -3.0, 137.1,  13.3,   9.3,   1.2,  39.3,  29.7,  32.8,  35.6
"9","Rocky River",47.75,-52.75, 7.00556429,6.6,   5.0,   7.1,   2.6, 647.8,  18.7,  -7.6,  26.3,  -0.2,   2.1,  13.7,  -3.0, 137.1,  13.3,   9.3,   1.2,  39.3,  29.7,  32.8,  35.6
"10","Salmonier River",47.75,-52.75, 7.00556429,6.3,   4.7,   7.1,   2.6, 649.4,  18.5,  -7.8,  26.3,  -0.5,   9.8,  13.4,  -3.3, 141.3,  14.0,   9.5,   1.3,  41.2,  30.0,  32.9,  37.3
