"","River","Latitude_rounded","Longitude_rounded","pastTemp","FutTemp","CurTemp","Latitude","Longitude"
"1","Alexis",52.75,-55.75,3.3082482,1.8,-0.2,52.6,-56.53
"2","Badger Brook",48.75,-55.75,4.96667274,5.9,3.9,48.98,-56.03
"3","Bay du Nord River",47.75,-54.75,6.55067163,6.3,4.5,47.73,-55.44
"4","Beaver Brook",50.75,-55.75,4.20575847,3.7,1.7,50.9,-56.15
"5","Big",54.75,-57.75,1.89351875,1.4,-0.9,54.84,-58.94
"6","Big Barachois River",47.75,-52.75,7.00556429,6.5,5,47.05,-53.78
"7","Big East",50.75,-56.75,3.63618148,4.6,2.5,50.63,-57.17
"8","Biscay Bay River",46.75,-52.75,7.73086314,6.1,4.6,46.77,-53.28
"9","Black Duck Brook",48.75,-57.75,5.00046359,5.9,4,48.56,-58.39
"10","Campbellton",49.75,-53.75,5.63730606,6.1,4.2,49.28,-54.92
"11","Cinq Cerf Brook",47.75,-57.75,6.36364079,5.6,3.8,47.7,-58.14
"12","Conne River",47.75,-52.75,7.00556429,6.5,4.8,47.91,-55.7
"13","Conne River Mill Brook",47.75,-52.75,7.00556429,6.4,4.7,47.89,-55.65
"14","Dead Water Brook",49.75,-56.75,4.05797564,5.5,3.4,49.4,-57.32
"15","Dolland Brook",47.75,-52.75,7.00556429,6.4,4.8,47.73,-57.75
"16","English",54.75,-58.75,0.91387572,1,-1.5,54.97,-59.75
"17","Exploits Rocky Brook",49.75,-54.75,5.09768683,6.5,4.5,49.03,-55.41
"18","Flat Bay Brook",48.75,-57.75,5.00046359,6.4,4.5,48.41,-58.58
"19","Garndy’s Bay of Islands",47.75,-57.75,6.36364079,5.6,3.8,47.6,-58.85
"20","Garnish River",47.75,-54.75,6.55067163,6.7,5,47.23,-55.35
"21","Grand Bank Brook",47.75,-54.75,6.55067163,6.8,5.2,47.09,-55.76
"22","Grand Codroy River",47.75,-58.75,6.48498414,5.1,3.2,47.85,-59.25
"23","Grandys Brook",47.75,-57.75,6.36364079,5.6,3.8,47.61,-58.85
"24","Great Rattling Brook",48.75,-54.75,5.62479911,6.5,4.6,48.97,-55.55
"25","Grey River",47.75,-56.75,6.26199727,5.3,3.5,47.68,-57.01
"26","Hunt",55.75,-59.75,0.37048749,0.1,-2.4,55.57,-60.67
"27","Indian Arm Brook",49.75,-53.75,5.63730606,6.1,4.2,49.28,-54.92
"28","Indian Bay Brook",49.75,-52.75,6.00000408,6,4.2,49.04,-53.88
"29","Isle aux Morte",47.75,-58.75,6.48498414,5.6,3.8,47.57,-59
"30","Junction Brook",48.75,-55.75,4.96667274,5.9,3.9,48.97,-56.02
"31","Kennamu",53.75,-58.75,-0.08528149,2.3,-0.2,53.48,-59.91
"32","La Poile River",47.75,-52.75,7.00556429,6.3,4.7,47.8,-58.32
"33","Little Junction",48.75,-55.75,4.96667274,5.9,3.9,48.97,-56.02
"34","Little River",47.75,-52.75,7.00556429,6.4,4.7,47.87,-55.81
"35","Little Salmonier River",47.75,-52.75,7.00556429,6.5,5,47.04,-53.75
"36","Lomond",49.75,-56.75,4.05797564,5.2,3.1,49.43,-57.73
"37","Long Harbour River",47.75,-53.75,6.75593241,6.1,4.4,47.82,-54.94
"38","Main River (Sops Arm)",49.75,-55.75,4.42346378,4.9,2.8,49.77,-56.9
"39","Middle Barachois",48.75,-57.75,5.00046359,6.1,4.3,48.24,-58.83
"40","North Harbour",47.75,-52.75,7.00556429,6.6,5,47.19,-53.62
"41","Northeast Brook",46.75,-52.75,7.73086314,6.1,4.5,46.77,-53.35
"42","Northeast River",47.75,-52.75,7.00556429,6.7,5,47.27,-53.84
"43","Northwest Brook",46.75,-52.75,7.73086314,6.1,4.5,46.76,-53.39
"44","Old Bay Brook",47.75,-52.75,7.00556429,6.5,4.9,47.56,-55.6
"45","Pinchgut Brook",48.75,-57.75,5.00046359,5.4,3.5,48.79,-58.1
"46","Pinware",51.75,-55.75,3.74642781,2.5,0.4,51.63,-56.69
"47","Pipers Hole",47.75,-52.75,7.00556429,6,4.4,47.91,-53.28
