"","X","River","Latitude_rounded","Longitude_rounded","pastTemp","FutTemp","CurTemp","Latitude","Longitude"
"1",1,"Alexis",52.75,-56.75,2.29380714630406,1.8,-0.2,52.6,-56.53
"2",2,"Badger Brook",48.75,-55.75,4.96667273704843,5.9,3.9,48.98,-56.03
"3",3,"Bay du Nord River",47.75,-54.75,6.550671627651,6.3,4.5,47.73,-55.44
"4",4,"Beaver Brook",50.75,-55.75,4.20575847037916,3.7,1.7,50.9,-56.15
"5",5,"Big",54.75,-58.75,0.913875717935364,1.4,-0.9,54.84,-58.94
"6",6,"Big Barachois River",46.75,-53.75,7.59050108186543,6.5,5,47.05,-53.78
"7",7,"Big East",50.75,-56.75,3.63618148371991,4.6,2.5,50.63,-57.17
"8",8,"Biscay Bay River",46.75,-52.75,7.73086314323934,6.1,4.6,46.77,-53.28
"9",9,"Black Duck Brook",48.75,-57.75,5.00046358584408,5.9,4,48.56,-58.39
"10",10,"Campbellton",48.75,-54.75,5.62479910729871,6.1,4.2,49.28,-54.92
"11",11,"Cinq Cerf Brook",47.75,-57.75,6.36364078818115,5.6,3.8,47.7,-58.14
"12",12,"Conne River",47.75,-55.75,6.33924698670725,6.2,4.4,47.91,-55.7
"13",13,"Conne River Mill Brook",47.75,-55.75,6.33924698670725,6,4.2,47.89,-55.65
"14",14,"Dead Water Brook",48.75,-56.75,4.73417352059011,5.5,3.4,49.4,-57.32
"15",15,"Dolland Brook",47.75,-57.75,6.36364078818115,5.5,3.7,47.73,-57.75
"16",16,"English",54.75,-59.75,-0.247799931024837,1,-1.5,54.97,-59.75
"17",17,"Exploits Rocky Brook",48.75,-54.75,5.62479910729871,6.5,4.5,49.03,-55.41
"18",18,"Flat Bay Brook",47.75,-58.75,6.48498413740254,6.4,4.5,48.41,-58.58
"19",19,"Garndy’s Bay of Islands",47.75,-58.75,6.48498413740254,5.6,3.8,47.6,-58.85
"20",20,"Garnish River",46.75,-54.75,7.60335705901806,6.7,5,47.23,-55.35
"21",21,"Grand Bank Brook",46.75,-55.75,7.69483822384262,6.8,5.2,47.09,-55.76
"22",22,"Grand Codroy River",47.75,-58.75,6.48498413740254,5.1,3.2,47.85,-59.25
"23",23,"Grandys Brook",47.75,-58.75,6.48498413740254,5.6,3.8,47.61,-58.85
"24",24,"Great Rattling Brook",48.75,-55.75,4.96667273704843,6.5,4.6,48.97,-55.55
"25",25,"Grey River",47.75,-56.75,6.26199727444763,5.3,3.5,47.68,-57.01
"26",26,"Hunt",55.75,-60.75,-0.972232853766848,0.1,-2.4,55.57,-60.67
"27",27,"Indian Arm Brook",48.75,-54.75,5.62479910729871,6.1,4.2,49.28,-54.92
"28",28,"Indian Bay Brook",48.75,-53.75,6.1326389033687,6,4.2,49.04,-53.88
"29",29,"Isle aux Morte",47.75,-58.75,6.48498413740254,5.6,3.8,47.57,-59
"30",30,"Junction Brook",48.75,-55.75,4.96667273704843,5.9,3.9,48.97,-56.02
"31",31,"Kennamu",52.75,-59.75,-0.333651634406442,2.3,-0.2,53.48,-59.91
"32",32,"La Poile River",47.75,-57.75,6.36364078818115,5.5,3.7,47.8,-58.32
"33",33,"Little Junction",48.75,-55.75,4.96667273704843,5.9,3.9,48.97,-56.02
"34",34,"Little River",47.75,-55.75,6.33924698670725,6.2,4.4,47.87,-55.81
"35",35,"Little Salmonier River",46.75,-53.75,7.59050108186543,6.5,5,47.04,-53.75
"36",36,"Lomond",48.75,-57.75,5.00046358584408,5.2,3.1,49.43,-57.73
"37",37,"Long Harbour River",47.75,-54.75,6.550671627651,6.1,4.4,47.82,-54.94
"38",38,"Main River (Sops Arm)",49.75,-56.75,4.05797564227544,4.9,2.8,49.77,-56.9
"39",39,"Middle Barachois",47.75,-58.75,6.48498413740254,6.1,4.3,48.24,-58.83
"40",40,"North Harbour",46.75,-53.75,7.59050108186543,6.6,5,47.19,-53.62
"41",41,"Northeast Brook",46.75,-52.75,7.73086314323934,6.1,4.5,46.77,-53.35
"42",42,"Northeast River",46.75,-53.75,7.59050108186543,6.7,5,47.27,-53.84
"43",43,"Northwest Brook",46.75,-52.75,7.73086314323934,6.1,4.5,46.76,-53.39
"44",44,"Old Bay Brook",47.75,-55.75,6.33924698670725,6,4.3,47.56,-55.6
"45",45,"Pinchgut Brook",48.75,-57.75,5.00046358584408,5.4,3.5,48.79,-58.1
"46",46,"Pinware",51.75,-56.75,2.94252121170556,2.5,0.4,51.63,-56.69
"47",47,"Pipers Hole",47.75,-52.75,7.00556428917593,6,4.4,47.91,-53.28
"48",48,"Red wine",53.75,-60.75,-1.04139641789734,0.7,-1.8,53.93,-61
"49",49,"River Of Ponds",50.75,-56.75,3.63618148371991,4.7,2.5,50.54,-57.39
"50",50,"Rocky River",46.75,-53.75,7.59050108186543,6.6,5,47.22,-53.57
"51",51,"Roses Feeder",50.75,-56.75,3.63618148371991,3.4,1.4,51.13,-56.62
"52",52,"Salmon River (Gander)",48.75,-54.75,5.62479910729871,6.4,4.5,49,-54.87
"53",53,"Salmonier River",46.75,-52.75,7.73086314323934,6.3,4.7,47.18,-53.4
"54",54,"Sand Hill",53.75,-55.75,3.33454311274162,1.7,-0.2,53.57,-56.35
"55",55,"Simms Brook Fortune Bay",47.75,-54.75,6.550671627651,6.5,4.8,47.65,-55.48
"56",56,"Soulis Brook",48.75,-53.75,6.1326389033687,6.2,4.4,48.89,-54.45
"57",57,"Southeast River",46.75,-53.75,7.59050108186543,6.7,5,47.22,-53.91
"58",58,"Southwest Brook",47.75,-54.75,6.550671627651,6.1,4.3,47.89,-55.42
"59",59,"Southwest Brook Milltown",47.75,-55.75,6.33924698670725,6.2,4.4,47.92,-55.74
