BBA_1	 pop_1 	Ssa197 	179 	187
BBA_2	 pop_1 	Ssa197 	175 	179
BBA_3	 pop_1 	Ssa197 	175 	183
BBA_4	 pop_1 	Ssa197 	175 	179
BBA_5	 pop_1 	Ssa197 	171 	175
BBA_6	 pop_1 	Ssa197 	171 	187
BBA_7	 pop_1 	Ssa197 	175 	195
BBA_8	 pop_1 	Ssa197 	179 	187
BBA_9	 pop_1 	Ssa197 	175 	179
BBA_10	 pop_1 	Ssa197 	171 	179
BBA_11	 pop_1 	Ssa197 	167 	175
BBA_12	 pop_1 	Ssa197 	167 	195
BBA_13	 pop_1 	Ssa197 	183 	187
BBA_14	 pop_1 	Ssa197 	163 	179
BBA_15	 pop_1 	Ssa197 	187 	187
BBA_16	 pop_1 	Ssa197 	167 	191
BBA_17	 pop_1 	Ssa197 	163 	187
BBA_18	 pop_1 	Ssa197 	167 	195
BBA_19	 pop_1 	Ssa197 	171 	195
BBA_20	 pop_1 	Ssa197 	171 	187
BBA_21	 pop_1 	Ssa197 	167 	175
BBA_22	 pop_1 	Ssa197 	191 	211
BBA_23	 pop_1 	Ssa197 	175 	179
BBA_24	 pop_1 	Ssa197 	195 	195
BBA_25	 pop_1 	Ssa197 	167 	195
BBA_26	 pop_1 	Ssa197 	159 	163
BBA_27	 pop_1 	Ssa197 	179 	187
BBA_28	 pop_1 	Ssa197 	175 	195
BBA_29	 pop_1 	Ssa197 	163 	171
BBA_30	 pop_1 	Ssa197 	175 	179
BBA_31	 pop_1 	Ssa197 	167 	171
BBA_32	 pop_1 	Ssa197 	175 	195
BBA_33	 pop_1 	Ssa197 	179 	183
BBA_34	 pop_1 	Ssa197 	175 	179
BBA_35	 pop_1 	Ssa197 	167 	187
BBA_36	 pop_1 	Ssa197 	171 	175
BBA_37	 pop_1 	Ssa197 	163 	171
BBA_38	 pop_1 	Ssa197 	167 	191
BBA_39	 pop_1 	Ssa197 	175 	175
BBA_40	 pop_1 	Ssa197 	163 	187
BBA_41	 pop_1 	Ssa197 	163 	187
BBA_42	 pop_1 	Ssa197 	167 	175
BBA_43	 pop_1 	Ssa197 	175 	179
BBA_44	 pop_1 	Ssa197 	179 	195
BBA_45	 pop_1 	Ssa197 	175 	179
BBA_46	 pop_1 	Ssa197 	175 	179
BBA_47	 pop_1 	Ssa197 	175 	187
BBA_48	 pop_1 	Ssa197 	171 	171
BBA_49	 pop_1 	Ssa197 	171 	179
BBA_50	 pop_1 	Ssa197 	183 	195
BBA_51	 pop_1 	Ssa197 	167 	167
BBA_52	 pop_1 	Ssa197 	183 	187
BBA_53	 pop_1 	Ssa197 	163 	183
BBA_54	 pop_1 	Ssa197 	183 	195
BBA_55	 pop_1 	Ssa197 	167 	195
BBA_56	 pop_1 	Ssa197 	163 	187
BBA_57	 pop_1 	Ssa197 	167 	175
BBA_58	 pop_1 	Ssa197 	175 	183
BBA_59	 pop_1 	Ssa197 	171 	175
BBA_60	 pop_1 	Ssa197 	171 	195
BBA_61	 pop_1 	Ssa197 	183 	187
BBA_62	 pop_1 	Ssa197 	171 	179
BBA_63	 pop_1 	Ssa197 	171 	175
BBA_64	 pop_1 	Ssa197 	175 	195
BBA_65	 pop_1 	Ssa197 	163 	171
BBA_66	 pop_1 	Ssa197 	179 	179
BBA_67	 pop_1 	Ssa197 	195 	195
BBA_68	 pop_1 	Ssa197 	167 	171
BDN_1	 pop_2 	Ssa197 	167 	195
BDN_2	 pop_2 	Ssa197 	163 	195
BDN_3	 pop_2 	Ssa197 	167 	183
BDN_4	 pop_2 	Ssa197 	163 	167
BDN_5	 pop_2 	Ssa197 	163 	163
BDN_6	 pop_2 	Ssa197 	175 	187
BDN_7	 pop_2 	Ssa197 	171 	179
BDN_8	 pop_2 	Ssa197 	179 	179
BDN_9	 pop_2 	Ssa197 	167 	175
BDN_10	 pop_2 	Ssa197 	167 	199
BDN_11	 pop_2 	Ssa197 	175 	179
BDN_12	 pop_2 	Ssa197 	167 	187
BDN_13	 pop_2 	Ssa197 	163 	171
