"","Populations","Allelic Richness","Expected Het","HWE values"
"1","QC-ANG-01,","7.39","0.83","0.7259"
"2","QC-AF-01,","6.97","0.79","0.9016"
"3","QC-AG-01,","8.08","0.85","0.3569"
"4","QC-ARO-01,","8.62","0.87","0.5508"
"5","QC-BO-01,","8.18","0.86","0.3786"
"6","QC-CAU-10,","8.15","0.85","0.5074"
"7","QC-CC-10,","8.94","0.87","0.7286"
"8","QC-CH-01,","7.81","0.83","0.1728"
"9","QC-COR-01,","7.23","0.82","0.421"
"10","QC-CS-01,","8.35","0.86","0.9409"
"11","QC-DA-01,","8.41","0.85","1"
"12","QC-DG-01,","7.65","0.84","3e-04"
"13","QC-TRI-01,","7.69","0.84","0.6881"
"14","QC-EAG-01,","8.38","0.85","0.4331"
"15","QC-ET-01,","7.64","0.84","0.0169"
"16","QC-GE-01,","6.22","0.81","0.5442"
"17","QC-GO-01,","7.87","0.83","0.2346"
"18","QC-GP-01,","8.08","0.84","1e-04"
"19","QC-JC-01,","8.27","0.84","0.6853"
"20","QC-JU-01,","8.1","0.84","0.0763"
"21","QC-KO-01,","7.92","0.83","0.8146"
"22","QC-LA-01,","7.6","0.83","0.8345"
"23","QC-MAD-01,","8.74","0.87","0.9999"
"24","QC-MAL-01,","8.18","0.85","0.1471"
"25","QC-MAP-01,","8.78","0.87","0.6257"
"26","QC-MAT-01,","8.85","0.88","0.5728"
"27","QC-MBB-11,","7.17","0.83","0.699"
"28","QC-MEC-01,","7.55","0.83","0.9868"
"29","QC-MIR-SOm-01,","8.81","0.85","0.5507"
"30","QC-MIR-NOm-01,","8.69","0.85","0.0018"
"31","QC-MIT-01,","8.73","0.86","0.8302"
"32","QC-MOI-01,","6.57","0.85","0.1915"
"33","QC-MUQ-01,","7.09","0.81","2e-04"
"34","QC-NAP-01,","7.91","0.83","0.2341"
"35","QC-NAT-01,","7.97","0.85","0.97"
"36","QC-OU-01,","7.65","0.82","0.6893"
"37","QC-PA-01,","8.41","0.86","0.3167"
"38","QC-PCS-01,","7.95","0.84","0"
"39","QC-PS-01,","7.82","0.84","0.8161"
"40","QC-RES-LMm-01,","8.5","0.86","0.7202"
"41","QC-RES-Um-01,","8.34","0.86","0.0127"
"42","QC-SA-01,","8.78","0.87","0.9986"
