This is a job step 6


----------------------------------------------------
STRUCTURE by Pritchard, Stephens and Donnelly (2000)
     and Falush, Stephens and Pritchard (2003)
       Code by Pritchard, Falush and Hubisz
             Version 2.3.4 (Jul 2012)
----------------------------------------------------


Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/mainparamsfiles/mainparamsbigfile".
datafile is
/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str
Reading file "/global/home/hpc3579/Salmon-Project/STRUCTURE/extraparams_bigfile".
Note: RANDOMIZE is set to 1. The random number generator will be initialized using the system clock, ignoring any specified value of SEED.
Reading file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str".


Data file "/global/home/hpc3579/Salmon-Project/FileConversions/bigfilestruc.str" (truncated) --

Ind:   Label Pop : Genotype_data . . . .
  1: QC-ANG-01    1  :110 167 287 296 254 146 173  . . . . 291
  1: QC-ANG-01    1  :110 179 295 312 358 210 175  . . . . 315
  2: QC-ANG-11    1  :130 171 291 312 322 210 193  . . . . 283
  2: QC-ANG-11    1  :130 175 303 336 338 242 199  . . . . 303
  3: QC-ANG-12    1  :106 175 279 312 278 198 171  . . . . 315
  3: QC-ANG-12    1  :130 191 307 372 342 210 201  . . . . 319
  4: QC-ANG-13    1  :128 159 291 320 314 214 159  . . . . 287
  4: QC-ANG-13    1  :128 167 295 344 326 254 201  . . . . 315

      *******   

9141: US-NA11574  153  :122 203 283 312 254 198 173  . . . . 303
9141: US-NA11574  153  :128 203 303 340 290 206 173  . . . . 307
9142: US-NA11575  153  :122 167 283 300 254 214 173  . . . . 295
9142: US-NA11575  153  :128 167 303 336 290 298 173  . . . . 339

Number of alleles per locus: min=15; ave=39.8; max=91


--------------------------------------

Finished initialization; starting MCMC 
1000000 iterations + 100000 burnin


--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 6 clusters

Given    Inferred Clusters                            Number of
 Pop       1      2      3      4      5      6      Individuals

  1:     0.115  0.073  0.192  0.210  0.240  0.169       45
  2:     0.032  0.028  0.821  0.057  0.023  0.040       50
  3:     0.104  0.160  0.252  0.114  0.326  0.044       48
  4:     0.180  0.093  0.189  0.122  0.294  0.122       50
  5:     0.130  0.160  0.069  0.209  0.288  0.144       50
  6:     0.193  0.085  0.099  0.178  0.229  0.216       49
  7:     0.163  0.099  0.115  0.163  0.289  0.172       43
  8:     0.104  0.099  0.068  0.346  0.302  0.081       46
  9:     0.068  0.191  0.204  0.120  0.339  0.078       60
 10:     0.083  0.115  0.076  0.262  0.274  0.189       38
 11:     0.088  0.075  0.081  0.246  0.396  0.113       50
 12:     0.125  0.074  0.063  0.150  0.492  0.096       48
 13:     0.136  0.196  0.174  0.165  0.244  0.084       50
 14:     0.069  0.103  0.504  0.081  0.150  0.094       57
 15:     0.178  0.150  0.351  0.113  0.126  0.082       48
 16:     0.045  0.045  0.783  0.052  0.028  0.047       48
 17:     0.124  0.139  0.238  0.129  0.297  0.074       50
 18:     0.117  0.176  0.065  0.186  0.239  0.217       44
 19:     0.123  0.042  0.048  0.097  0.601  0.088       50
 20:     0.074  0.143  0.047  0.356  0.287  0.092       50
 21:     0.044  0.079  0.760  0.052  0.032  0.033       48
 22:     0.148  0.068  0.198  0.110  0.358  0.117       50
 23:     0.099  0.116  0.051  0.176  0.412  0.145       49
 24:     0.150  0.109  0.131  0.111  0.426  0.072       50
 25:     0.106  0.093  0.093  0.197  0.294  0.217       50
 26:     0.104  0.145  0.135  0.189  0.296  0.131       50
 27:     0.119  0.169  0.481  0.041  0.080  0.110       55
 28:     0.084  0.075  0.425  0.105  0.177  0.133       50
 29:     0.245  0.100  0.075  0.314  0.187  0.078      108
 30:     0.161  0.147  0.088  0.317  0.218  0.069      109
 31:     0.124  0.111  0.082  0.253  0.263  0.166       49
 32:     0.137  0.104  0.140  0.153  0.397  0.069       50
 33:     0.061  0.271  0.145  0.100  0.269  0.153       50
 34:     0.074  0.161  0.422  0.067  0.095  0.180       50
 35:     0.155  0.122  0.264  0.058  0.304  0.097       50
 36:     0.141  0.059  0.089  0.137  0.468  0.105       39
 37:     0.117  0.105  0.109  0.174  0.331  0.164       47
 38:     0.119  0.128  0.086  0.184  0.338  0.146       67
 39:     0.106  0.080  0.104  0.049  0.580  0.082       34
 40:     0.065  0.149  0.124  0.222  0.343  0.097       58
 41:     0.129  0.173  0.144  0.190  0.269  0.095       86
 42:     0.114  0.114  0.112  0.288  0.231  0.140       44
 43:     0.061  0.171  0.087  0.326  0.255  0.102       44
 44:     0.083  0.146  0.535  0.070  0.077  0.089       50
 45:     0.190  0.201  0.075  0.267  0.195  0.072       35
 46:     0.178  0.130  0.159  0.088  0.344  0.101       50
 47:     0.100  0.112  0.141  0.032  0.527  0.088       36
 48:     0.102  0.078  0.472  0.080  0.175  0.093       53
 49:     0.062  0.045  0.692  0.090  0.045  0.067       57
 50:     0.157  0.147  0.390  0.090  0.111  0.105       49
 51:     0.069  0.255  0.193  0.089  0.309  0.085       42
 52:     0.072  0.076  0.122  0.237  0.299  0.194       50
 53:     0.146  0.077  0.050  0.439  0.188  0.100       50
 54:     0.313  0.057  0.066  0.245  0.229  0.091       44
 55:     0.235  0.086  0.083  0.333  0.193  0.070       50
 56:     0.090  0.054  0.062  0.721  0.054  0.019       30
 57:     0.198  0.100  0.058  0.274  0.270  0.100       50
 58:     0.230  0.065  0.083  0.286  0.231  0.105       50
 59:     0.152  0.113  0.079  0.355  0.228  0.073       33
 60:     0.109  0.107  0.071  0.363  0.193  0.156        9
 61:     0.171  0.127  0.049  0.306  0.273  0.074       50
 62:     0.222  0.037  0.038  0.452  0.173  0.077       32
 63:     0.202  0.088  0.095  0.371  0.177  0.066       50
 64:     0.132  0.083  0.034  0.571  0.093  0.087       50
 65:     0.170  0.030  0.088  0.589  0.097  0.027       29
 66:     0.261  0.072  0.100  0.367  0.162  0.038       50
 67:     0.127  0.118  0.072  0.502  0.152  0.030       31
 68:     0.272  0.043  0.061  0.412  0.151  0.060       27
 69:     0.246  0.070  0.061  0.285  0.248  0.090       20
 70:     0.237  0.078  0.055  0.304  0.210  0.116       50
 71:     0.127  0.090  0.151  0.139  0.338  0.154       50
 72:     0.164  0.056  0.067  0.382  0.224  0.107       37
 73:     0.125  0.073  0.565  0.062  0.076  0.099       81
 74:     0.083  0.178  0.136  0.096  0.045  0.462       50
 75:     0.158  0.139  0.093  0.134  0.253  0.223       50
 76:     0.131  0.173  0.115  0.099  0.131  0.352       89
 77:     0.092  0.434  0.092  0.105  0.138  0.139      100
 78:     0.061  0.103  0.584  0.052  0.082  0.117       94
 79:     0.090  0.171  0.139  0.078  0.241  0.281      100
 80:     0.103  0.133  0.145  0.079  0.053  0.487       50
 81:     0.127  0.172  0.086  0.082  0.194  0.338      100
 82:     0.164  0.159  0.110  0.174  0.183  0.210       98
 83:     0.048  0.076  0.069  0.088  0.051  0.669       50
 84:     0.031  0.054  0.767  0.048  0.038  0.063       99
