
QC-ANG-01
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	6.48917487951074	8.24021375869877	7.9812129259238	10.8018044975618	11.9138942532185	9.22841594723606	8.27061371538453	3.89016512822449	6.02345884860542	7.70475586316705	8.14801256524434	4.18150054887576	0	1.90961298377029	0	6.319
size	45	43	45	45	45	45	43	45	44	44	45	45	45	45	45	44.6
obs_het	0.844444444444444	0.837209302325581	0.911111111111111	0.844444444444444	0.977777777777778	0.888888888888889	0.906976744186046	0.622222222222222	0.863636363636364	0.818181818181818	0.911111111111111	0.622222222222222	0.755555555555556	0.933333333333333	0.933333333333333	0.845
exp_het	0.824197530864198	0.858301784748513	0.869876543209877	0.920987654320988	0.93679012345679	0.861975308641975	0.872363439697134	0.605432098765432	0.775309917355372	0.823863636363636	0.852592592592593	0.706666666666667	0.683950617283951	0.899506172839506	0.887654320987654	0.825
uexp_het	0.833	0.868	0.88	0.931	0.947	0.872	0.883	0.612	0.784	0.833	0.862	0.715	0.692	0.91	0.898	0.835
fis	-0.0245656081485919	0.0245746691871455	-0.047402781720125	0.0831099195710455	-0.0437532946758039	-0.0312231452305929	-0.0396776193428394	-0.0277324632952691	-0.113924050632911	0.00689655172413794	-0.0686359687228497	0.119496855345912	-0.104693140794224	-0.0376063683777106	-0.051460361613352	-0.024
hwe_glb	0.359235923592359	0.049004900490049	0.133513351335134	0.0589058905890589	0.436243624362436	0.754375437543754	0.398339833983398	0.440000008432272	0.702870287028703	0.0708070807080708	0.349034903490349	0.398159765124835	0.25702541755954	0.79017901790179	0.485448544854485	0.148
hwe_hom	NA	0.473347334733473	0.234823482348235	NA	0.165816581658166	0.237223722372237	0.346134613461346	0.300330700458103	0.0831083108310831	0.612161216121612	0.163316331633163	NA	0.203521848192708	0.223822382238224	0.341834183418342	0.31
hwe_het	0.284328432843284	NA	NA	0.0056005600560056	NA	NA	NA	NA	NA	NA	NA	0.147348324780389	NA	NA	NA	0.976

QC-AF-01
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	3.44578997790539	7.83315281871715	9.70888304333506	9.05982819439972	9.11483732102699	10.5255782205289	5.25019015362008	4.31419087912878	4.69263919960898	8.29043843122605	7.13198598375317	3.91269056479844	0	1.92141414141414	0	5.68
size	50	50	50	49	50	50	50	50	50	50	50	48	50	50	48	49.667
obs_het	0.56	0.92	0.94	0.857142857142857	0.94	0.96	0.7	0.68	0.62	0.84	0.86	0.75	0.6	0.92	0.958333333333333	0.807
exp_het	0.6056	0.8526	0.9042	0.884631403581841	0.892	0.9156	0.7184	0.672	0.6452	0.8602	0.8324	0.635199652777778	0.6272	0.9122	0.918619791666667	0.792
uexp_het	0.612	0.861	0.913	0.894	0.901	0.925	0.726	0.679	0.652	0.869	0.841	0.642	0.634	0.921	0.928	0.8
fis	0.0752972258916774	-0.0790523105794041	-0.0395930103959301	0.0310734463276836	-0.053811659192825	-0.0484927916120577	0.0256124721603563	-0.0119047619047621	0.0390576565406076	0.0234829109509417	-0.0331571359923113	-0.180731124017766	0.0433673469387755	-0.00855075641306735	-0.043231750531538	-0.017
hwe_glb	0.24155854292219	0.0929092909290929	0.716471647164716	0.468546854685469	0.0628062806280628	0.67026702670267	0.332733273327333	0.613530087416987	0.0348034803480348	0.092009200920092	0.332733273327333	0.212057477465391	0.432625023558514	0.324332433243324	0.643864386438644	0.089
hwe_hom	NA	0.0584058405840584	0.367036703670367	NA	0.146114611461146	0.155815581558156	NA	0.463297860236803	0.613161316131613	0.585858585858586	0.208020802080208	0.43817301425648	0.429353009300511	0.402440244024402	0.153715371537154	0.421
hwe_het	0.227456819798897	NA	NA	0.11991199119912	NA	NA	0.14011401140114	NA	NA	NA	NA	NA	NA	NA	NA	0.999

QC-AG-01
stat	Ssa85	Ssa197	Ssa202	SsaD71	SsaD85	SsaD144	Ssosl417	Sssp2210	Sssp2215	Sssp2216	SsspG7	u3	D486	D58	2201	overall
ar	5.77694028412184	8.76681141331685	8.05188230925858	11.4391321495232	11.7680226850232	11.8967673276135	7.3592133379009	3.75487151028102	7.75364217709017	9.17350276522983	8.65255616371415	4.99647335326926	0	1.94714912280702	0	6.756
size	42	48	46	48	48	45	48	48	48	48	46	40	48	48	48	46.6
obs_het	0.785714285714286	0.791666666666667	0.847826086956522	0.895833333333333	0.958333333333333	0.822222222222222	0.833333333333333	0.8125	0.833333333333333	0.854166666666667	0.956521739130435	0.675	0.666666666666667	0.895833333333333	0.979166666666667	0.841
exp_het	0.755102040816326	0.876519097222222	0.864603024574669	0.92578125	0.934678819444444	0.935555555555556	0.850477430555556	0.688585069444444	0.857638888888889	0.892578125	0.875708884688091	0.7409375	0.732855902777778	0.937282986111111	0.944878472222222	0.854
uexp_het	0.764	0.886	0.874	0.936	0.945	0.946	0.859	0.696	0.867	0.902	0.885	0.75	0.741	0.947	0.955	0.864
fis	-0.0405405405405406	0.0968061401336965	0.0194042088002186	0.0323488045007032	-0.0253076387276527	0.121140142517815	0.0201582036233733	-0.179955877718248	0.0283400809716599	0.0430342815463166	-0.0922827846735026	0.088991986503585	0.0903168492745041	0.044223199814772	-0.0362884703720716	0.014
hwe_glb	0.0298029802980298	0.173817381738174	0.449444944494449	0.03000300030003	0.55035503550355	0.0771077107710771	0.515051505150515	0.195898710646011	0.571557155715572	0.738073807380738	0.745674567456746	0.833183318331833	0.0988098809880988	0.18991899189919	0.481448144814481	0.07
