loci	gst	Gst	GGst	D	Fis	Fst	Fit
Ssa85	0.0535	0.2186	0.2188	0.1744	 0.0087	0.0550	0.0632
Ssa197	0.0343	0.2498	0.2500	0.2232	 0.0026	0.0340	0.0365
Ssa202	0.0353	0.2970	0.2972	0.2713	-0.0016	0.0348	0.0333
SsaD71	0.0178	0.2826	0.2827	0.2696	 0.0069	0.0180	0.0247
SsaD85	0.0217	0.3336	0.3337	0.3188	 0.0053	0.0205	0.0257
SsaD144	0.0210	0.3242	0.3243	0.3097	 0.0135	0.0200	0.0333
Ssosl417	0.0744	0.3945	0.3948	0.3458	 0.0108	0.0772	0.0872
Sssp2210	0.0859	0.2555	0.2559	0.1855	-0.0188	0.0802	0.0629
Sssp2215	0.0295	0.2121	0.2122	0.1881	 0.0015	0.0293	0.0307
Sssp2216	0.0366	0.3642	0.3643	0.3400	-0.0001	0.0350	0.0349
SsspG7	0.0377	0.3171	0.3173	0.2904	 0.0056	0.0372	0.0427
u3	0.0965	0.2975	0.2979	0.2225	 0.0102	0.0950	0.1042
D486	NA	NA	NA	NA	NA	NA	NA
D58	0.0225	0.3482	0.3483	0.3332	 0.0021	0.0219	0.0239
2201	NA	NA	NA	NA	NA	NA	NA
Global	0.0416	0.2754	0.2756	0.2534	 0.0039	0.0413	0.0451
