loci	gst	Gst	GGst	D
Ssa85	0.0230	0.1202	0.1227	0.0995
Ssa197	0.0085	0.0817	0.0827	0.0738
Ssa202	0.0088	0.1023	0.1033	0.0944
SsaD71	0.0046	0.1038	0.1043	0.0997
SsaD85	0.0052	0.1172	0.1178	0.1126
SsaD144	0.0072	0.1562	0.1570	0.1501
Ssosl417	0.0447	0.2907	0.2947	0.2576
Sssp2210	0.0290	0.1075	0.1107	0.0808
Sssp2215	0.0061	0.0552	0.0559	0.0494
Sssp2216	0.0140	0.1882	0.1896	0.1766
SsspG7	0.0115	0.1313	0.1325	0.1211
u3	0.0481	0.1790	0.1839	0.1375
D486	0.0509	0.1930	0.1981	0.1497
D58	0.0074	0.1605	0.1613	0.1542
2201	0.0078	0.1759	0.1767	0.1694
Global	0.0173	0.1420	0.1438	0.1107
