Name,code,ID,Regional group (fine),Year of collection,Life stage,Longitude,Latitude,N,Ho,Hs,Ar,Private Ar,Fis
Jacques Cartier,QC-JC,1,St. Lawerence North Shore (upper),2004,adults,-71.73,46.67,50,0.831,0.853,8.15/11.67,0/0,0.026
Ouelle,QC-OU,2,St. Lawerence North Shore (upper),2004,adults,-70.03,47.42,39,0.843,0.834,7.69/10.71,0/0,-0.011
Du Gouffre,QC-DG,3,St. Lawerence North Shore (upper),2004,adults,-70.48,47.43,48,0.822,0.844,7.69/10.77,0/0,0.027
Malbaie,QC-MAL,4,St. Lawerence North Shore (upper),2004,adults,-70.13,47.65,50,0.876,0.859,8.09/11.5,0.01/0,-0.021
Petit Saguenay,QC-PS,5,St. Lawerence North Shore (upper),2004,adults,-70.08,48.22,34,0.87,0.85,7.91/11.15,0/0,-0.023
Sainte-Marguerite,QC-SM,6,St. Lawerence North Shore (upper),2004,adults,-69.93,48.25,36,0.862,0.856,7.94/11.07,0.01/0,-0.007
Laval,QC-LA,7,St. Lawerence North Shore (upper),2004,adults,-69.05,48.77,50,0.845,0.837,7.57/10.52,0/0,-0.009
Aux Anglais,QC-ANG,8,St. Lawerence North Shore (lower),2004,adults,-68.12,49.27,45,0.845,0.835,7.31/10.04,0.01/0.01,-0.012
Godbout,QC-GO,9,St. Lawerence North Shore (lower),2004,adults,-67.60,49.30,50,0.834,0.841,8.01/11.29,0.01/0,0.009
TrinitŽ,QC-TRI,10,St. Lawerence North Shore (lower),2004,adults,-67.30,49.42,50,0.828,0.85,7.89/11.18,0.04/0.05,0.025
Aux Rochers,QC-ARO,11,St. Lawerence North Shore (lower),2004,adults,-66.92,50.00,50,0.852,0.877,8.57/12.39,0.03/0.04,0.028
Natashquan,QC-NAT,12,St. Lawerence North Shore (lower),2004,adults,-61.80,50.12,50,0.846,0.858,8.04/11.54,0.02/0.02,0.015
Moisie,QC-MOI,13,St. Lawerence North Shore (lower),2004,adults,-66.07,50.20,68,0.852,0.868,NA,NA,0.018
Aganus,QC-AG,14,St. Lawerence North Shore (lower),2004,adults,-62.10,50.22,48,0.841,0.864,8.1/11.53,0.04/0.05,0.027
Saint-Jean (North Shore),QC-SJQ8,15,St. Lawerence North Shore (lower),2004,adults,-64.33,50.28,50,0.84,0.869,8.4/12.1,0/0,0.033
Watshishou,QC-WAT,16,St. Lawerence North Shore (lower),2004,adults,-62.65,50.28,42,0.858,0.843,7.7/10.75,0.02/0,-0.018
Mitis,QC-MIT,17,GaspŽsie,2004,adults,-68.13,48.62,49,0.884,0.87,8.59/12.7,0.03/0.01,-0.015
Matane,QC-MAT,18,GaspŽsie,2004,adults,-67.53,48.85,50,0.878,0.886,8.8/12.87,0.04/0.05,0.009
Cap Chat,QC-CC,19,GaspŽsie,2004,adults,-66.83,49.08,46,0.866,0.878,8.86/12.94,0.01/0,0.013
Sainte-Anne,QC-SA,20,GaspŽsie,2004,adults,-66.50,49.12,44,0.879,0.876,8.73/12.78,0.01/0,-0.003
