Locus Pairwise estimates

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008

gst

Loci	QC-JC-01,  vs  QC-MIT-01,	QC-JC-01,  vs  GU-TB-01,	QC-JC-01,  vs  NS-COU00X1,	QC-JC-01,  vs  NL-SGR-3350,	QC-JC-01,  vs  QC-MUQ-01,	QC-JC-01,  vs  NS-ROH00X1,	QC-JC-01,  vs  NL-NBT-5500,	QC-JC-01,  vs  US-NA11476,	QC-MIT-01,  vs  GU-TB-01,	QC-MIT-01,  vs  NS-COU00X1,	QC-MIT-01,  vs  NL-SGR-3350,	QC-MIT-01,  vs  QC-MUQ-01,	QC-MIT-01,  vs  NS-ROH00X1,	QC-MIT-01,  vs  NL-NBT-5500,	QC-MIT-01,  vs  US-NA11476,	GU-TB-01,  vs  NS-COU00X1,	GU-TB-01,  vs  NL-SGR-3350,	GU-TB-01,  vs  QC-MUQ-01,	GU-TB-01,  vs  NS-ROH00X1,	GU-TB-01,  vs  NL-NBT-5500,	GU-TB-01,  vs  US-NA11476,	NS-COU00X1,  vs  NL-SGR-3350,	NS-COU00X1,  vs  QC-MUQ-01,	NS-COU00X1,  vs  NS-ROH00X1,	NS-COU00X1,  vs  NL-NBT-5500,	NS-COU00X1,  vs  US-NA11476,	NL-SGR-3350,  vs  QC-MUQ-01,	NL-SGR-3350,  vs  NS-ROH00X1,	NL-SGR-3350,  vs  NL-NBT-5500,	NL-SGR-3350,  vs  US-NA11476,	QC-MUQ-01,  vs  NS-ROH00X1,	QC-MUQ-01,  vs  NL-NBT-5500,	QC-MUQ-01,  vs  US-NA11476,	NS-ROH00X1,  vs  NL-NBT-5500,	NS-ROH00X1,  vs  US-NA11476,	NL-NBT-5500,  vs  US-NA11476,
Ssa85	0.0045	0.0051	0.007	0.0058	0.0038	0.0053	0.026	0.0234	0.0012	0.0068	0.0086	0.0063	0.0046	0.0233	0.0222	0.0073	0.0078	0.0082	0.0058	0.028	0.0155	0.0013	0.0076	0.0117	0.017	0.0128	0.0057	0.0116	0.0221	0.0102	0.0084	0.0248	0.0269	0.0189	0.0226	0.0375
Ssa197	0.0027	0.0011	0.0021	0.0024	0.0027	0.0028	0.0077	0.0095	0.003	0.0022	0.0022	0.001	0.0025	0.0069	0.0143	0.0016	0.0016	0.0019	0.0023	0.0047	0.0115	3e-04	0.0011	0.001	0.0055	0.0099	0.0017	0.0017	0.0065	0.0135	0.0012	0.0038	0.0107	0.0039	0.0095	0.0165
Ssa202	0.0031	0.0039	0.0019	0.002	0.0063	0.0057	0.0057	0.0072	0.0035	0.0027	0.0025	0.0041	0.0043	0.0047	0.0099	0.004	0.0051	0.002	0.005	0.004	0.0054	4e-04	0.0057	0.0045	0.0034	0.0076	0.0064	0.004	0.0041	0.0094	0.0059	0.0062	0.0079	0.0069	0.006	0.0067
SsaD71	8e-04	0.001	8e-04	0.001	3e-04	0.003	0.0027	0.0051	9e-04	8e-04	8e-04	0.001	0.0037	0.0026	0.0041	4e-04	6e-04	0.0013	0.0035	0.0028	0.0037	0	7e-04	0.0035	0.0026	0.0041	0.0012	0.0038	0.0027	0.0043	0.0033	0.0027	0.0054	0.0064	0.0087	0.0032
SsaD85	6e-04	0.0017	5e-04	0.001	0.0024	0.0021	9e-04	0.0052	0.0018	7e-04	0.001	0.0015	0.0028	0.0025	0.004	6e-04	0.0012	0.0049	0.003	0.0025	0.0046	6e-04	0.003	0.0024	0.0016	0.0047	0.0037	0.0015	0.0019	0.0047	0.0063	0.0052	0.0067	0.0026	0.0082	0.0074
SsaD144	5e-04	0.0011	0.0013	0.0018	0.0014	0.0066	0.0051	0.0053	0.0011	0.0012	0.0019	5e-04	0.0069	0.0046	0.0045	0.0011	0.0023	0.0013	0.0051	0.0039	0.0071	8e-04	8e-04	0.0039	0.0029	0.0072	0.0013	0.0063	0.0042	0.0075	0.0059	0.0036	0.0061	0.0084	0.0116	0.0117
Ssosl417	0.0111	0.0205	0.0049	0.0105	0.0088	0.0656	0.0127	0.0159	0.0042	0.0082	0.0081	0.0226	0.0356	0.0207	0.0267	0.0107	0.008	0.0305	0.021	0.0283	0.0407	0.0049	0.0141	0.042	0.0195	0.02	0.0129	0.0262	0.0258	0.0277	0.0685	0.0321	0.0362	0.0826	0.0783	0.0285
Sssp2210	0.0114	0.0172	0.0199	0.0182	0.0215	0.0131	0.0092	0.0323	0.0202	0.0137	0.0085	0.0161	0.0205	0.006	0.0297	0.0063	0.0155	0.0356	0.0265	0.0199	0.0039	0.0046	0.0175	0.0174	0.0099	0.0053	0.0075	0.0192	0.0028	0.0188	0.0119	0.004	0.042	0.0118	0.0349	0.0278
Sssp2215	0.0036	0.0023	0.0015	0.001	0.0019	0.0022	0.0044	0.0061	0.0014	0.0015	0.0028	0.0042	0.0033	0.0063	0.0044	0.001	0.0021	0.0038	0.001	0.0059	0.0033	2e-04	0.0019	8e-04	0.0027	0.0057	0.0013	0.0013	0.0025	0.008	0.0032	0.003	0.011	0.0036	0.0042	0.0101
Sssp2216	0.0044	0.0033	0.0056	0.0082	0.0075	0.0042	0.0168	0.0076	0.0024	0.0024	0.0053	0.0043	0.0052	0.0084	0.0127	0.0046	0.0083	0.0052	0.0055	0.0152	0.009	0.0013	0.0013	0.0061	0.007	0.0129	0.0027	0.0098	0.0052	0.0161	0.0076	0.0095	0.0135	0.0133	0.0069	0.0268
