loci	gst	Gst	GGst	D
Ssa197	0.0309	0.2324	0.2328	0.2080
Ssa202	0.0360	0.2974	0.2977	0.2711
Ssa85	0.0808	0.3570	0.3578	0.3005
SsaD144	0.0235	0.3819	0.3821	0.3670
SsaD486	0.0968	0.2779	0.2789	0.2005
SsaD58	0.0242	0.3789	0.3791	0.3635
SsaD71	0.0211	0.3259	0.3261	0.3113
SsaD85	0.0200	0.3033	0.3036	0.2891
SSOSL417	0.0865	0.4340	0.4347	0.3804
SSsp2201	0.0217	0.3728	0.3730	0.3589
SSsp2210	0.0590	0.2011	0.2018	0.1510
SSsp2215	0.0304	0.2256	0.2259	0.2013
SSsp2216	0.0323	0.3046	0.3049	0.2813
SSspG7	0.0393	0.3129	0.3133	0.2848
U3	0.0680	0.2417	0.2424	0.1864
Global	0.0428	0.2816	0.2821	0.2588
