Pairwise stats
gst = Nei & Chesser, (1983)
Gst = Hedrick, (2005)
GGst = Meirmans & Hedrick, (2011)
D = Jost, (2008)

gst

pops	ARN-1,	BAYDE-1,	DEER-1,	EAST-1,	FORBAY-1,	GRBAY-1,	LAB-1,	NOR-1,	PLA-1,	POLL-1,	STMAR-1,	SWC-1,	TRBAY-1,
ARN-1,	 												
BAYDE-1,	 0.0084												
DEER-1,	 0.0109	0.0116											
EAST-1,	 0.0056	0.0047	0.011										
FORBAY-1,	 0.008	0.0062	0.0117	0.0055									
GRBAY-1,	 0.0063	0.0038	0.0107	0.0036	0.0053								
LAB-1,	 0.011	0.0095	0.0147	0.0072	0.0096	0.0105							
NOR-1,	 0.0091	0.0063	0.0097	0.0063	0.0047	0.0061	0.0088						
PLA-1,	 0.0214	0.0214	0.0264	0.0209	0.0146	0.0187	0.0223	0.0215					
POLL-1,	 0.0128	0.0074	0.0151	0.0085	0.0076	0.0085	0.0094	0.0055	0.0222				
STMAR-1,	 0.0109	0.0146	0.0152	0.0121	0.0094	0.0117	0.0163	0.0133	0.0092	0.0174			
SWC-1,	 0.0084	0.005	0.0092	0.0052	0.0038	0.0047	0.0076	0.003	0.0188	0.0059	0.0118		
TRBAY-1,	 0.0107	0.0114	0.0164	0.0095	0.0078	0.0092	0.0121	0.0109	0.0133	0.0127	0.0083	0.0091	

Gst

pops	ARN-1,	BAYDE-1,	DEER-1,	EAST-1,	FORBAY-1,	GRBAY-1,	LAB-1,	NOR-1,	PLA-1,	POLL-1,	STMAR-1,	SWC-1,	TRBAY-1,
ARN-1,	 												
BAYDE-1,	 0.127												
DEER-1,	 0.1554	0.159											
EAST-1,	 0.0871	0.07	0.1545										
FORBAY-1,	 0.126	0.0936	0.1669	0.0863									
GRBAY-1,	 0.0947	0.055	0.1473	0.0537	0.0807								
LAB-1,	 0.1767	0.1471	0.2139	0.1145	0.1544	0.1629							
NOR-1,	 0.1445	0.0966	0.1399	0.0999	0.0752	0.094	0.1447						
PLA-1,	 0.2776	0.2691	0.3166	0.2703	0.1903	0.2365	0.2966	0.2843					
POLL-1,	 0.1943	0.1088	0.2094	0.129	0.117	0.1252	0.147	0.0848	0.2829				
STMAR-1,	 0.1599	0.2064	0.2042	0.1765	0.1378	0.1668	0.2451	0.1991	0.1128	0.2491			
SWC-1,	 0.1349	0.0776	0.1346	0.0834	0.0611	0.0733	0.1249	0.049	0.251	0.0922	0.1785		
TRBAY-1,	 0.1643	0.1691	0.2291	0.1453	0.1199	0.1376	0.191	0.1706	0.1711	0.1906	0.12	0.1443	

GGst

pops	ARN-1,	BAYDE-1,	DEER-1,	EAST-1,	FORBAY-1,	GRBAY-1,	LAB-1,	NOR-1,	PLA-1,	POLL-1,	STMAR-1,	SWC-1,	TRBAY-1,
ARN-1,	 												
BAYDE-1,	 0.1343												
DEER-1,	 0.1645	0.1687											
EAST-1,	 0.0922	0.0744	0.1637										
FORBAY-1,	 0.133	0.0992	0.1766	0.0913									
GRBAY-1,	 0.1004	0.0585	0.1563	0.0571	0.0855								
LAB-1,	 0.1857	0.1551	0.2253	0.1209	0.1624	0.1716							
NOR-1,	 0.1522	0.1022	0.1481	0.1056	0.0796	0.0995	0.1522						
PLA-1,	 0.2928	0.2844	0.3342	0.2853	0.2019	0.2505	0.312	0.2994					
POLL-1,	 0.2044	0.1154	0.2211	0.1364	0.1237	0.1326	0.155	0.0897	0.2985				
STMAR-1,	 0.169	0.2178	0.2162	0.1863	0.1458	0.1765	0.2572	0.2096	0.1209	0.262			
SWC-1,	 0.1421	0.0822	0.1425	0.0882	0.0647	0.0776	0.1315	0.0518	0.2648	0.0975	0.1881		
TRBAY-1,	 0.1732	0.1784	0.2415	0.1534	0.1266	0.1455	0.2007	0.1795	0.182	0.2007	0.1273	0.152	

D

pops	ARN-1,	BAYDE-1,	DEER-1,	EAST-1,	FORBAY-1,	GRBAY-1,	LAB-1,	NOR-1,	PLA-1,	POLL-1,	STMAR-1,	SWC-1,	TRBAY-1,
ARN-1,	 												
BAYDE-1,	 0.0963												
DEER-1,	 0.1157	0.1123											
EAST-1,	 0.0625	0.0679	0.1286										
FORBAY-1,	 0.088	0.0869	0.1446	0.0762									
GRBAY-1,	 0.0733	0.0487	0.1199	0.0497	0.072								
LAB-1,	 0.0755	0.0998	0.1169	0.0889	0.1078	0.1179							
NOR-1,	 0.0818	0.0633	0.1032	0.0607	0.0643	0.0748	0.094						
PLA-1,	 0.1816	0.1727	0.2527	0.1966	0.1593	0.1838	0.178	0.168					
POLL-1,	 0.1115	0.0721	0.1177	0.0814	0.0925	0.0915	0.0677	0.0601	0.1498				
STMAR-1,	 0.0697	0.0989	0.1383	0.0857	0.0999	0.0983	0.0977	0.0826	0.1085	0.1014			
SWC-1,	 0.0618	0.056	0.1066	0.0475	0.0569	0.0675	0.0718	0.0367	0.1488	0.0512	0.0598		
TRBAY-1,	 0.092	0.0788	0.146	0.0897	0.0798	0.0767	0.0772	0.0863	0.1352	0.098	0.0921	0.0573	

