loci	gst	Gst	GGst	D
Ssa197	0.0110	0.0989	0.0997	0.0888
Ssa202	0.0170	0.1703	0.1714	0.1559
Ssa85	0.0581	0.3040	0.3073	0.2610
SsaD144	0.0065	0.1541	0.1546	0.1486
SsaD486	0.0483	0.1508	0.1542	0.1078
SsaD58	0.0087	0.1873	0.1878	0.1801
SsaD71	0.0066	0.1386	0.1391	0.1328
SsaD85	0.0053	0.1096	0.1100	0.1048
SSOSL417	0.0572	0.3364	0.3395	0.2961
SSsp2201	0.0067	0.1639	0.1643	0.1582
SSsp2210	0.0302	0.1171	0.1193	0.0895
SSsp2215	0.0094	0.0863	0.0870	0.0777
SSsp2216	0.0112	0.1338	0.1346	0.1240
SSspG7	0.0140	0.1386	0.1396	0.1264
Global	0.0196	0.1649	0.1663	0.1234
